,geo,time,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,Channel4_impression,Channel5_impression,Competitor_Discount,GQV,Geo_GDP,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,Channel4_spend,Channel5_spend,conversions,revenue_per_conversion,population,geo_tier,Channel4_reach,Channel5_reach,Channel4_frequency,Channel5_frequency
0,Geo0,1/25/2021,0,0,0,549315,283116,0,0.8260731,-1.1286073,-1.6954446,0,0,0,4264.9795,2305.556,0,9108830,0.020016301,574674.6,2,228583,0,1.2385699,0
1,Geo0,2/1/2021,0,0,0,0,0,0,-1.0034146,-2.3161445,0.109140724,0,0,0,0,0,0,8093423,0.020054065,574674.6,2,0,0,0,0
2,Geo0,2/8/2021,547840,242085,1003156,436785,0,75885,1.7974973,-0.359717,-1.6014922,4701.699,2400.4517,8756.294,3391.2766,0,594.79785,11142771,0.02000194,574674.6,2,0,65079,0,1.1660444
3,Geo0,2/15/2021,0,0,197580,414793,172504,0,-0.23209679,-0.7307286,-0.39232057,0,0,1724.6257,3220.5269,1404.7869,0,7338163.5,0.019939508,574674.6,2,167068,0,1.0325377,0
4,Geo0,2/22/2021,832513,0,0,0,426307,0,-1.2693962,0.22998106,0.7655015,7144.8335,0,0,0,3471.6326,0,7930677.5,0.01999655,574674.6,2,199890,0,2.132708,0
5,Geo0,3/1/2021,190624,0,0,416576,0,0,1.040812,-1.8822868,-0.49450666,1635.9827,0,0,3234.3704,0,0,9297966,0.019850625,574674.6,2,0,0,0,0
6,Geo0,3/8/2021,621075,313718,550788,597954,0,0,-0.7962985,1.2054719,-0.2756259,5330.22,3110.7458,4807.689,4642.6216,0,0,9491084,0.020114673,574674.6,2,0,0,0,0
7,Geo0,3/15/2021,238661,123921,929512,652476,111343,0,-1.4489763,0.716259,-0.34547594,2048.248,1228.7683,8113.4746,5065.94,906.72205,0,8672365,0.019963093,574674.6,2,108132,0,1.0296952,0
8,Geo0,3/22/2021,0,507308,207820,465605,733559,0,-1.1659458,0.5154947,-0.067177415,0,5030.334,1814.0082,3615.0403,5973.74,0,8461247,0.019783301,574674.6,2,414684,0,1.768959,0
9,Geo0,3/29/2021,412869,0,0,0,1126428,324270,1.4079542,-1.3742882,-0.44921273,3543.3445,0,0,0,9173.07,2541.6763,9384594,0.020054962,574674.6,2,398116,281484,2.8293965,1.1520015
10,Geo0,4/5/2021,0,0,0,0,0,207438,-3.7742615,1.217242,-0.59725344,0,0,0,0,0,1625.9298,4595158.5,0.019982733,574674.6,2,0,194391,0,1.0671173
11,Geo0,4/12/2021,0,0,1230193,438683,1015377,153998,-0.41227978,1.6030077,-0.660123,0,0,10738.043,3406.013,8268.726,1207.0591,10408691,0.020024648,574674.6,2,449565,120726,2.2585766,1.2755992
12,Geo0,4/19/2021,285297,869587,1663611,1499411,976802,2034862,0.17125058,1.5508225,0.95368576,2448.4897,8622.598,14521.239,11641.694,7954.59,15949.55,12033766,0.020060426,574674.6,2,499287,541483,1.9563938,3.7579424
13,Geo0,4/26/2021,0,0,1316216,465824,0,172658,-1.8061918,2.1476686,-1.2102027,0,0,11488.916,3616.7405,0,1353.319,6631036,0.020043947,574674.6,2,0,149490,0,1.1549803
14,Geo0,5/3/2021,0,493984,1619975,493155,0,0,-0.2023094,0.52959126,-0.781595,0,4898.2163,14140.351,3828.9434,0,0,9173290,0.020088404,574674.6,2,0,0,0,0
15,Geo0,5/10/2021,621055,0,43345,0,0,0,0.093925446,-0.3950866,-0.5442162,5330.0483,0,378.3475,0,0,0,10538589,0.020160038,574674.6,2,0,0,0,0
16,Geo0,5/17/2021,716383,0,0,473420,0,0,-0.74051195,-0.5576642,-0.77634573,6148.177,0,0,3675.7173,0,0,8855465,0.020000605,574674.6,2,0,0,0,0
17,Geo0,5/24/2021,1250613,637724,1233148,0,239862,0,-1.2962503,1.1539237,0.19393367,10733.072,6323.505,10763.836,0,1953.317,0,8232311.5,0.019822273,574674.6,2,167457,0,1.4323796,0
18,Geo0,5/31/2021,661823,389274,293539,387821,1005913,362903,0.65644324,-0.7442105,0.052179933,5679.9297,3859.9395,2562.2275,3011.1116,8191.6553,2844.4875,10630803,0.01979739,574674.6,2,448428,254840,2.2431984,1.4240426
19,Geo0,6/7/2021,151424,0,201394,0,608517,0,-0.55148363,-0.44118273,0.1603784,1299.5583,0,1757.9171,0,4955.46,0,8158032.5,0.02009341,574674.6,2,409101,0,1.4874493,0
20,Geo0,6/14/2021,1957335,0,282537,1048701,758080,449646,-0.10961303,0.94495714,-0.35858294,16798.336,0,2466.1938,8142.3013,6173.427,3524.392,10497530,0.020190818,574674.6,2,356886,333305,2.1241517,1.3490527
21,Geo0,6/21/2021,0,0,497594,827159,0,0,-0.4168598,-0.43292028,-0.5074166,0,0,4343.372,6422.21,0,0,8448633,0.020098433,574674.6,2,0,0,0,0
22,Geo0,6/28/2021,0,0,641115,1052292,1221479,944738,-0.24498117,-0.2516076,1.1722292,0,0,5596.1304,8170.1826,9947.118,7404.9966,9456567,0.019948006,574674.6,2,485664,374237,2.5150702,2.5244377
23,Geo0,7/5/2021,0,0,448082,0,0,0,-1.6514232,-0.13342583,0.9877889,0,0,3911.1943,0,0,0,8417177,0.019891411,574674.6,2,0,0,0,0
24,Geo0,7/12/2021,346010,0,508630,779676,590381,726675,-1.1494427,0.9185997,0.7550957,2969.5437,0,4439.7026,6053.5435,4807.7695,5695.7866,9010442,0.020055674,574674.6,2,322497,465888,1.8306558,1.5597633
25,Geo0,7/19/2021,0,0,300758,330269,550184,1354037,-0.9431485,-0.7508412,0.842456,0,0,2625.2402,2564.2676,4480.425,10613.143,9123576,0.019885706,574674.6,2,307203,508327,1.790946,2.6637125
